"subject" "session" "item" "cond" "amplitude_prestim" "amplitude_n400" "amplitude_p600" "roi" "sem" "syn"
"119" 4 "s1" 11 235 0.486787953795379 2.93503382838284 2.266146799117 "centro-parietal" 0.5 -0.5
"120" 4 "s1" 12 245 -5.37124834983498 0.956033828382839 3.86651655629139 "centro-parietal" -0.5 0.5
"121" 4 "s1" 13 255 -6.5301105610561 3.36091666666667 -0.394899006622517 "centro-parietal" 0.5 0.5
"122" 4 "s1" 14 225 -0.934961221122112 0.832666666666667 -1.61918929359823 "centro-parietal" -0.5 -0.5
"123" 4 "s1" 15 235 3.76193399339934 -3.10310313531353 -1.32157781456954 "centro-parietal" 0.5 -0.5
"124" 4 "s1" 16 245 -0.288375412541255 -6.85999092409241 -0.121150662251656 "centro-parietal" -0.5 0.5
"125" 4 "s1" 17 255 5.98249092409241 1.50199257425743 -1.91849668874172 "centro-parietal" 0.5 0.5
"126" 4 "s1" 18 225 -3.71017574257426 -3.98172607260726 2.50788631346578 "centro-parietal" -0.5 -0.5
"127" 4 "s1" 19 235 0.0932681518151821 -8.78941831683169 1.86376600441501 "centro-parietal" 0.5 -0.5
"128" 4 "s1" 20 245 0.156835808580858 -1.92886551155115 1.05583498896247 "centro-parietal" -0.5 0.5
"129" 4 "s1" 21 255 -7.04703052805281 -5.51733250825083 0.278918874172186 "centro-parietal" 0.5 0.5
"130" 4 "s1" 22 225 7.3516501650165 3.50584900990099 0.534381346578366 "centro-parietal" -0.5 -0.5
"131" 4 "s1" 23 235 -4.10623679867987 -2.53835891089109 2.71702428256071 "centro-parietal" 0.5 -0.5
"132" 4 "s1" 24 245 -1.64823844884489 -4.82420544554455 0.362357615894039 "centro-parietal" -0.5 0.5
"133" 4 "s1" 25 255 -7.16727062706271 -6.29698844884489 1.61207505518764 "centro-parietal" 0.5 0.5
"134" 4 "s1" 26 225 5.25004785478548 -10.4455627062706 -4.49796081677704 "centro-parietal" -0.5 -0.5
"135" 4 "s1" 27 235 -3.30423184818482 13.360444719472 -0.596850993377483 "centro-parietal" 0.5 -0.5
"136" 4 "s1" 28 245 1.68802310231023 2.71266171617162 7.05573785871965 "centro-parietal" -0.5 0.5
"137" 4 "s1" 29 255 -5.33047277227723 -7.47611798679868 -4.95406567328918 "centro-parietal" 0.5 0.5
"138" 4 "s1" 30 225 -0.0731064356435645 -5.86295792079208 3.75192494481236 "centro-parietal" -0.5 -0.5
"139" 4 "s1" 31 235 2.42124752475247 8.83799917491749 -6.98740949227373 "centro-parietal" 0.5 -0.5
"140" 4 "s1" 32 245 5.54311633663366 3.6886501650165 -5.83756291390729 "centro-parietal" -0.5 0.5
"141" 4 "s1" 33 255 6.86072524752475 3.24283828382838 -6.40207560706402 "centro-parietal" 0.5 0.5
"142" 4 "s1" 34 225 5.55593399339934 -9.57998184818482 -4.61166225165563 "centro-parietal" -0.5 -0.5
"143" 4 "s1" 35 235 4.90408250825083 -4.17406435643564 -2.85662582781457 "centro-parietal" 0.5 -0.5
"144" 4 "s1" 36 245 -1.015800330033 6.71050825082508 -3.64745088300221 "centro-parietal" -0.5 0.5
"145" 4 "s1" 37 255 -0.147457095709572 9.83238613861386 -0.406799116997794 "centro-parietal" 0.5 0.5
"146" 4 "s1" 38 225 -6.61972937293729 -1.76788696369637 9.56669426048565 "centro-parietal" -0.5 -0.5
"147" 4 "s1" 39 235 -4.55090264026402 -0.427158415841584 -1.67119205298013 "centro-parietal" 0.5 -0.5
"148" 4 "s1" 40 245 -3.79783663366336 2.13240181518152 6.05116501103753 "centro-parietal" -0.5 0.5
"149" 4 "s1" 41 255 -5.57508333333333 -0.841111386138614 9.99511699779249 "centro-parietal" 0.5 0.5
"150" 4 "s1" 42 225 -2.87085396039604 -2.48350825082508 1.57436258278146 "centro-parietal" -0.5 -0.5
"151" 4 "s1" 43 235 -8.2121707920792 2.284550330033 2.50641942604857 "centro-parietal" 0.5 -0.5
