"subj" "item" "rt" "dist" "distance" "pred" "predability"
"15206" 13 12 388 1 "long" 1 "unpredictable"
"15239" 13 34 857 1 "long" -1 "predictable"
"15298" 13 21 342 -1 "short" -1 "predictable"
"15355" 13 29 471 -1 "short" -1 "predictable"
"15386" 13 1 470 -1 "short" -1 "predictable"
"15419" 13 24 364 1 "long" 1 "unpredictable"
"15463" 13 27 404 -1 "short" 1 "unpredictable"
"15518" 13 7 468 -1 "short" 1 "unpredictable"
"15573" 13 30 608 1 "long" -1 "predictable"
"15692" 14 10 751 -1 "short" 1 "unpredictable"
"15754" 14 23 826 1 "long" 1 "unpredictable"
"15805" 14 21 864 1 "long" -1 "predictable"
"15830" 14 1 862 1 "long" -1 "predictable"
"15864" 14 2 451 -1 "short" 1 "unpredictable"
"15894" 14 4 708 -1 "short" -1 "predictable"
"15913" 14 22 860 -1 "short" 1 "unpredictable"
"15943" 14 17 1965 1 "long" -1 "predictable"
"15978" 14 14 467 -1 "short" 1 "unpredictable"
"16018" 14 33 1126 1 "long" -1 "predictable"
"16039" 14 30 874 -1 "short" 1 "unpredictable"
"16104" 14 16 430 -1 "short" -1 "predictable"
"16144" 14 24 392 -1 "short" -1 "predictable"
"16219" 14 19 540 1 "long" 1 "unpredictable"
"16255" 14 11 504 1 "long" 1 "unpredictable"
"16285" 14 13 399 1 "long" -1 "predictable"
"16335" 14 3 361 1 "long" 1 "unpredictable"
"16374" 14 7 1720 1 "long" 1 "unpredictable"
"16409" 14 5 444 1 "long" -1 "predictable"
"16441" 14 26 465 -1 "short" 1 "unpredictable"
"16511" 14 28 469 -1 "short" -1 "predictable"
"16544" 14 20 324 -1 "short" -1 "predictable"
"16578" 14 6 364 -1 "short" 1 "unpredictable"
"16618" 14 12 313 -1 "short" -1 "predictable"
"16659" 14 35 398 1 "long" 1 "unpredictable"
"16704" 14 36 298 -1 "short" -1 "predictable"
"16764" 14 8 324 -1 "short" -1 "predictable"
"16788" 14 29 440 1 "long" -1 "predictable"
"16836" 14 32 344 -1 "short" -1 "predictable"
"16859" 14 15 373 1 "long" 1 "unpredictable"
"16944" 14 25 423 1 "long" -1 "predictable"
"16980" 14 27 357 1 "long" 1 "unpredictable"
"17023" 14 34 463 -1 "short" 1 "unpredictable"
"17108" 14 31 763 1 "long" 1 "unpredictable"
"17150" 14 18 352 -1 "short" 1 "unpredictable"
"17188" 14 9 449 1 "long" -1 "predictable"
"17284" 15 12 1064 1 "long" -1 "predictable"
"17309" 15 36 1082 1 "long" -1 "predictable"
"17356" 15 18 1214 1 "long" 1 "unpredictable"
"17380" 15 16 710 1 "long" -1 "predictable"
"17436" 15 10 671 1 "long" 1 "unpredictable"
"17503" 15 32 2151 1 "long" -1 "predictable"
"17556" 15 35 480 -1 "short" -1 "predictable"
"17594" 15 24 904 1 "long" -1 "predictable"
"17641" 15 2 526 1 "long" 1 "unpredictable"
"17718" 15 29 524 -1 "short" 1 "unpredictable"
"17741" 15 25 474 -1 "short" 1 "unpredictable"
"17790" 15 19 683 -1 "short" -1 "predictable"
"17828" 15 26 732 1 "long" 1 "unpredictable"
"17874" 15 6 1033 1 "long" 1 "unpredictable"
"17897" 15 30 599 1 "long" 1 "unpredictable"
"17925" 15 17 599 -1 "short" 1 "unpredictable"
"17948" 15 7 839 -1 "short" -1 "predictable"
"17969" 15 21 492 -1 "short" 1 "unpredictable"
"17990" 15 13 1465 -1 "short" 1 "unpredictable"
"18040" 15 31 425 -1 "short" -1 "predictable"
"18077" 15 22 509 1 "long" 1 "unpredictable"
"18099" 15 1 458 -1 "short" 1 "unpredictable"
"18152" 15 14 703 1 "long" 1 "unpredictable"
"18204" 15 28 612 1 "long" -1 "predictable"
"18251" 15 20 546 1 "long" -1 "predictable"
"18278" 15 11 412 -1 "short" -1 "predictable"
"18311" 15 3 426 -1 "short" -1 "predictable"
"18365" 15 33 850 -1 "short" 1 "unpredictable"
"18444" 15 34 862 1 "long" 1 "unpredictable"
"18484" 15 27 654 -1 "short" -1 "predictable"
"18530" 15 5 559 -1 "short" 1 "unpredictable"
"18584" 15 15 1394 -1 "short" -1 "predictable"
"18629" 15 23 635 -1 "short" -1 "predictable"
"18678" 15 8 529 1 "long" -1 "predictable"
"18729" 15 9 694 -1 "short" 1 "unpredictable"
"18757" 15 4 635 1 "long" -1 "predictable"
"18841" 16 9 548 1 "long" 1 "unpredictable"
"18946" 16 29 903 1 "long" 1 "unpredictable"
"18981" 16 3 660 1 "long" -1 "predictable"
"19014" 16 24 571 -1 "short" 1 "unpredictable"
"19035" 16 10 669 -1 "short" -1 "predictable"
"19069" 16 16 419 -1 "short" 1 "unpredictable"
"19131" 16 36 515 -1 "short" 1 "unpredictable"
"19155" 16 31 687 1 "long" -1 "predictable"
"19198" 16 25 445 1 "long" 1 "unpredictable"
"19222" 16 28 572 -1 "short" 1 "unpredictable"
"19263" 16 11 606 1 "long" -1 "predictable"
"19314" 16 17 949 1 "long" 1 "unpredictable"
"19356" 16 22 598 -1 "short" -1 "predictable"
"19424" 16 13 703 1 "long" 1 "unpredictable"
"19454" 16 18 407 -1 "short" -1 "predictable"
"19506" 16 26 847 -1 "short" -1 "predictable"
"19528" 16 34 434 -1 "short" -1 "predictable"
"19567" 16 5 440 1 "long" 1 "unpredictable"
"19673" 16 14 365 -1 "short" -1 "predictable"
"19700" 16 21 669 1 "long" 1 "unpredictable"
"19740" 16 8 363 -1 "short" 1 "unpredictable"
"19790" 16 20 326 -1 "short" 1 "unpredictable"
"19823" 16 12 384 -1 "short" 1 "unpredictable"
"19884" 16 27 745 1 "long" -1 "predictable"
"19932" 16 30 468 -1 "short" -1 "predictable"
"19960" 16 35 1261 1 "long" -1 "predictable"
"20025" 16 6 393 -1 "short" -1 "predictable"
"20065" 16 4 444 -1 "short" 1 "unpredictable"
"20096" 16 33 507 1 "long" 1 "unpredictable"
"20131" 16 23 417 1 "long" -1 "predictable"
"20187" 16 32 369 -1 "short" 1 "unpredictable"
"20213" 16 19 464 1 "long" -1 "predictable"
"20236" 16 15 390 1 "long" -1 "predictable"
"20273" 16 1 390 1 "long" 1 "unpredictable"
"20298" 16 7 420 1 "long" -1 "predictable"
"20319" 16 2 426 -1 "short" -1 "predictable"
"20390" 17 16 406 1 "long" 1 "unpredictable"
"20451" 17 3 415 -1 "short" 1 "unpredictable"
"20472" 17 33 426 -1 "short" -1 "predictable"
"20548" 17 1 371 -1 "short" -1 "predictable"
"20638" 17 2 421 1 "long" -1 "predictable"
"20682" 17 31 366 -1 "short" 1 "unpredictable"
"20702" 17 9 179 -1 "short" -1 "predictable"
"20749" 17 34 468 1 "long" -1 "predictable"
"20794" 17 11 267 -1 "short" 1 "unpredictable"
"20826" 17 35 421 -1 "short" 1 "unpredictable"
"20868" 17 26 693 1 "long" -1 "predictable"
"20892" 17 12 406 1 "long" 1 "unpredictable"
"20959" 17 10 341 1 "long" -1 "predictable"
"20981" 17 24 472 1 "long" 1 "unpredictable"
"21023" 17 36 314 1 "long" 1 "unpredictable"
"21066" 17 15 282 -1 "short" 1 "unpredictable"
"21110" 17 14 349 1 "long" -1 "predictable"
"21158" 17 18 333 1 "long" -1 "predictable"
"21181" 17 21 327 -1 "short" -1 "predictable"
"21228" 17 20 522 1 "long" 1 "unpredictable"
"21260" 17 27 220 -1 "short" 1 "unpredictable"
"21322" 17 29 454 -1 "short" -1 "predictable"
"21364" 17 4 166 1 "long" 1 "unpredictable"
"21427" 17 19 403 -1 "short" 1 "unpredictable"
"21474" 17 8 310 1 "long" 1 "unpredictable"
"21504" 17 13 244 -1 "short" -1 "predictable"
"21532" 17 28 343 1 "long" 1 "unpredictable"
"21569" 17 17 328 -1 "short" -1 "predictable"
"21606" 17 7 263 -1 "short" 1 "unpredictable"
"21656" 17 6 174 1 "long" -1 "predictable"
"21692" 17 25 440 -1 "short" -1 "predictable"
"21717" 17 32 979 1 "long" 1 "unpredictable"
"21761" 17 23 412 -1 "short" 1 "unpredictable"
"21797" 17 5 411 -1 "short" -1 "predictable"
"21833" 17 30 497 1 "long" -1 "predictable"
"21870" 17 22 413 1 "long" -1 "predictable"
"21972" 18 22 811 -1 "short" 1 "unpredictable"
"21997" 18 2 796 -1 "short" 1 "unpredictable"
"22024" 18 31 1150 1 "long" 1 "unpredictable"
"22057" 18 3 649 1 "long" 1 "unpredictable"
"22092" 18 23 734 1 "long" 1 "unpredictable"
